RMS,MAV,WL,target
550.4895636783461,550.2535153019024,2240.0,mesaio
547.9373522750542,547.8126550868486,1998.0,mesaio
551.4248072325282,551.2799834574029,2108.0,mesaio
549.1442681232068,548.9681555004136,2224.0,mesaio
548.8216364044041,548.5814722911497,2398.0,mesaio
550.359809368747,549.9685690653432,2377.0,mesaio
550.247872560392,550.0711331679073,2430.0,mesaio
549.7177089682939,549.5512820512821,2327.0,mesaio
550.3316366123341,550.0368072787428,2653.0,mesaio
550.2643916740542,549.9751861042183,2944.0,mesaio
549.7318189694204,549.590570719603,2363.0,mesaio
551.7920541748086,551.5769230769231,2876.0,mesaio
547.0024825180351,546.7928039702233,2345.0,mesaio
550.7304390921181,550.5566583953681,2252.0,mesaio
550.9439594774573,550.7684036393714,2355.0,mesaio
552.0235682025874,551.8602150537635,2183.0,mesaio
550.5171529110577,550.3126550868486,2671.0,mesaio
551.2713871282781,551.0496277915632,2332.0,mesaio
548.1720495857699,548.0194375516957,2222.0,mesaio
548.4024263779633,548.227047146402,2217.0,mesaio
549.8817099654324,549.7642679900745,2052.0,mesaio
548.0491905104773,547.9185277088503,2087.0,mesaio
547.0139990315389,546.8660049627791,2429.0,mesaio
548.6359187852239,548.4830438378825,2346.0,mesaio
549.0415477671288,548.863523573201,2276.0,mesaio
549.5361985335992,549.3387096774194,2380.0,mesaio
549.0478964885889,548.8945409429281,2270.0,mesaio
548.0666810239748,547.8668320926386,2084.0,mesaio
548.9507877108572,548.7845326716294,2151.0,mesaio
546.3834218499464,546.1952026468156,2321.0,mesaio
549.4756422168122,549.368899917287,2061.0,mesaio
548.4316219943089,548.2605459057072,2202.0,mesaio
548.4632930935012,548.3238213399504,1914.0,mesaio
550.3102673994858,550.1232423490488,2324.0,mesaio
549.8422211466672,549.6699751861042,2416.0,mesaio
550.8297778522277,550.7278742762613,1941.0,mesaio
549.4875648762952,549.3424317617867,2436.0,mesaio
548.5157237243707,548.2096774193549,2317.0,mesaio
550.8673764333188,550.7299421009099,1998.0,mesaio
552.2126685123302,552.0074441687345,2337.0,mesaio
551.0434132252119,550.8325062034739,2380.0,mesaio
550.6513362622286,550.4234904880066,2544.0,mesaio
550.9354027755259,550.7369727047146,1991.0,mesaio
